ESID#,Record ID,WAV Count,Total Files,State File Record ID,Reason
103,20839123,19,34,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
147,21052001,15,30,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
201,21124924,16,31,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
211,21133032,15,30,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
232,21134771,16,31,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
350,21135154,12,27,,CONVERTIBLE — every companion committed; ZIP not committed. No local upload_state.json — invisible to finish_stuck_uploads.py
791,21636376,10,25,21636376,CONVERTIBLE — every companion committed; ZIP not committed
878,21634157,9,24,21634157,CONVERTIBLE — every companion committed; ZIP not committed
919,21630856,12,27,21630856,CONVERTIBLE — every companion committed; ZIP not committed
923,21638159,11,26,21638159,CONVERTIBLE — every companion committed; ZIP not committed
926,21644973,11,26,21644973,CONVERTIBLE — every companion committed; ZIP not committed
945,21636796,10,25,21636796,CONVERTIBLE — every companion committed; ZIP not committed
961,21647123,18,33,21647123,CONVERTIBLE — every companion committed; ZIP not committed
