ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
004,,29.4195767,-99.6087549,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:12:47,18:30:12,18:32:21,18:34:31,19:53:48,2024.1.0,2024 Total Solar Eclipse ,2024
012,,37.464196,-89.77532,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:41:40,18:58:01,19:00:05,19:02:09,20:17:09,2024.1.0,2024 Total Solar Eclipse ,2024
014,,45.515893,-122.587539,Partial,22.32,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:33:39,N/A,18:25:50,N/A,19:19:51,2024.0.0,2024 Total Solar Eclipse ,2024
015,ARISA Lab: Hot Springs National Park,34.51126,-93.06024,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:31:51,18:49:20,18:51:10,18:53:00,20:10:06,2024.1.0,2024 Total Solar Eclipse: ES Team Collection Site: NPS Collection Site,2024
016,,33.709684,-95.4926622,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:26:48,18:44:04,18:46:04,18:48:04,20:05:37,2024.1.0,2024 Total Solar Eclipse ,2024
034,,34.0027,-118.25613,Partial,48.89,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:05:58,N/A,18:12:08,N/A,19:21:58,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
053,,29.52436,-98.58079,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:14:28,18:33:19,18:34:15,18:35:12,19:55:38,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
055,Buffalo National River,35.98343,-92.86608,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:34:39,18:51:51,18:53:27,18:55:03,20:11:41,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NPS Collection Site,2024
071,,32.8984253,-96.9337889,Total,100,Needs to be set manually,9:15:00 AM US Central,2024-04-08,17:23:14,18:40:53,18:42:30,18:44:07,20:02:29,2024.1.0,2024 Total Solar Eclipse ,2024
073,Nationwide Eclipse Ballooning Project at Montana State University,36.8,-90.4,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:39:41,18:56:16,18:58:21,19:00:25,20:15:50,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NEBP Collection Site,2024
078,ARISA Lab,44.74256,-72.58918,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:15:10,19:26:45,19:28:26,19:30:06,20:37:43,2024.1.0,2024 Total Solar Eclipse: ES Team Collection Site ,2024
089,Nationwide Eclipse Ballooning Project at Montana State University,42.12702,-80.08697,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:02:19,19:16:16,19:18:08,19:19:59,20:30:44,2024.1.0,2024 Total Solar Eclipse: NEBP Collection Site,2024
092,Nationwide Eclipse Ballooning Project at Montana State University,42.000989,-80.439561,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:01:40,19:15:43,19:17:35,19:19:27,20:30:21,2024.1.0,2024 Total Solar Eclipse: NEBP Collection Site,2024
096,Nationwide Eclipse Ballooning Project at Montana State University,40.9226,-83.98505,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:11,19:10:07,19:11:58,19:13:48,20:26:09,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site: NEBP Collection Site,2024
098,Nationwide Eclipse Ballooning Project at Montana State University,33.89,-94.7515,Total,100,Needs to be set manually,12:07:00 PM US Central,2024-04-08,17:28:13,18:45:23,18:47:33,18:49:42,20:06:57,2024.1.0,2024 Total Solar Eclipse: NEBP Collection Site,2024
102,Nationwide Eclipse Ballooning Project at Montana State University,37.8664,-90.531098,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:41:11,18:58:43,18:59:22,19:00:01,20:16:22,2024.1.0,2024 Total Solar Eclipse: NEBP Collection Site,2024
