Variable Name,Description,Data Type,Units,Size KB,Source,Code Meaning,Notes 1,Notes 2,Notes 3,Notes 4
Device ID,Serial number of the AudioMoth device that took the recordings and generated this file. ,String,,,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.",Device ID contains numbers and letters.,The AudioMoth's serial number is designated at the factory and is not the same as the ESID# that the Eclipse Soundscapes team assigned to the device,
Firmware,Firmware version of the Audiomoth device at the time of recording.,String,,,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.",,,
Time zone,Time zone ,String,,,AudioMoth device.,"UTC: Coordinated Universal Time,","File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to be in UTC, but setting may differ based on data collector usage.",,
Sample rate,Number of times per second the AudioMoth records audio data. ,Float,Hertz (Hz),,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have 4800, but settings may differ based on data collector usage.",,
Gain ,Signal boost level setting before the audio data is saved.,String,,,AudioMoth device.,"Low, Medium, and High gain settings are described in the AudioMoth Operation Manual. ","File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have Medium Gain, but settings may differ based on data collector usage.",,
Sleep duration,Amount of time the AudioMoth devices pauses in between recordings in a minute.,Float,Seconds,,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""5"", but settings may differ based on data collector usage.",,
Recording duration,Amount of time the AudioMoth devices records in a minute.,Float,Seconds,,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""55"", but settings may differ based on data collector usage.",,
Active recording periods ,Number of recording periods in a day,Integer,,,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""1"", but settings may differ based on data collector usage.",,
Recording period 1,"Time frame, in hours and minutes, recording period for a day.",String,"Time (UTC), Hours:Minutes:Seconds",,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""00:00 - 24:00 (UTC)"", but settings may differ based on data collector usage.",,
Earliest recording time,"When the AudioMoth is set to only record at certain times, this is the date and time of the earliest recording.",String,"Time (UTC), Hours:Minutes:Seconds",,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have "" ---------- --:--:--"", but settings may differ based on data collector usage.",,
Latest recording time ,"When the AudioMoth is set to only record at certain times, this is the date and time of the lastest recording.",String,"Time (UTC), Hours:Minutes:Seconds",,AudioMoth device.,,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have "" ---------- --:--:--"", but settings may differ based on data collector usage.",,
Filter ,This setting would describe the range of the passband if the signal was being filtered by frequencies.,String,,,AudioMoth device.,- = No trigger set,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""-"", but settings may differ based on data collector usage.",,
Trigger type,This setting would describe the type of trigger defined to begin recording if the AudioMoth had been configured to only record when a certain criteria was set.,String,,,AudioMoth device.,"amplitude = Trigger recording only if the sounds are at or above as certain threshold value, frequency=, - = No trigger set,","File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""-"", but settings may differ based on data collector usage.",,
Threshold setting,"If a trigger type had been set, this setting would list the threshold setting that would have to be reached for recording to occur.",String,,,AudioMoth device.,- = No threshold set,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""-"", but settings may differ based on data collector usage.",,
Minimum trigger duration,"If a trigger type had been set, this setting would list minimum time that  would have to be reached for recording to occur.",Float,Seconds,,AudioMoth device.,- = No duration set,"File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.","All Eclipse Soundscapes Data is expected to have ""-"", but settings may differ based on data collector usage.",,
Enable LED,Denotes if the LED is enabled  during recording,String,,,AudioMoth device.,"Yes: LED functionality was enabled, No: LED functionality was not enabled","File is a plain text file with each variable listed on a different line.  Each line has a "":"" delimiting the data name from its value.  All values are initially strings byt the data type denotes the suggested data type when parsed.  There are some blank lines in the file for formatting purposes.",,,
