ESID#,"Publication date
(Today's Date)","Data Collector Affiliations (If blank, no affiliation)",Latitude,Longitude,Type of Eclipse,Eclipse %,WAV files Time & Date Settings:,Eclipse Start Time (UTC):,Eclipse Maximum [when the most possible amount of the Sun in blocked] (UTC):,Eclipse End Time (UTC): [N/A if partial eclipse],Day of first recording (pulled from 1st audio clip name),Day of last recording (pulled from last audio clip name),Version,year
002,,ARISA Lab: Randall Davey Audubon,35.689,-105.88677,Annular,90,Set with Automated AudioMoth Time chime,15:13:34,16:37:25,18:09:52,,,2023.9.0,
004,,ARISA Lab: Randall Davey Audubon,35.6901,-105.88711,Annular,90,Set with Automated AudioMoth Time chime,15:13:34,16:37:25,18:09:52,,,2023.9.0,
011,,,41.96566,-89.77451,Partial,46,Set with Automated AudioMoth Time chime,15:33:36,16:54:47,18:20:25,,,2023.0.0,2023
014,,,45.515913,-122.5974699,Partial,86,Set with Automated AudioMoth Time chime,15:06:09,16:19:25,17:39:51,,,2023.0.0,2023
015,,ARISA Lab: Randall Davey Audubon,35.6883,-105.88611,Annular,90,Set with Automated AudioMoth Time chime,15:13:34,16:37:25,18:09:52,,,2023.9.0,2023
021,,LA County Library,33.999837,-118.295742,Partial,71,Set with Automated AudioMoth Time chime,15:07:55,16:24:26,17:49:58,,,2023.0.0,2023
022,,LA County Library,34.045395,-118.095194,Partial,71,Set with Automated AudioMoth Time chime,15:07:57,16:24:36,17:50:18,,,2023.0.0,2023
026,,,34.442085,-118.551319,Partial,72,Set with Automated AudioMoth Time chime,15:07:35,16:23:58,17:49:20,,,2023.0.0,2023
033,,NASA at My Library,37.3407,-121.97411,Partial,76,Set with Automated AudioMoth Time chime,15:05:27,16:19:53,17:42:49,,,2023.0.0,2023
038,,LA County Library,34.0481961,-118.3860591,Partial,71,Set with Automated AudioMoth Time chime,15:07:52,16:24:19,17:49:48,,,2023.0.0,2023
045,,LA County Library,34.1135786,-118.1867079,Partial,71,Set with Automated AudioMoth Time chime,15:07:53,16:24:29,17:50:07,,,2023.0.0,2023
047,,LA County Library,34.19486,-118.4012,Partial,71,Set with Automated AudioMoth Time chime,15:07:46,16:24:14,17:49:42,,,2023.0.0,2023
049,,LA County Library,34.10034,-118.32876,Partial,71,Set with Automated AudioMoth Time chime,15:07:51,16:24:21,17:49:52,,,2023.0.0,2023
064,,Nationwide Eclipse Ballooning Project,28.89837,-99.11922,Annular,90,Set with Automated AudioMoth Time chime,15:23:33,16:53:55,18:32:42,,,2023.9.0,2023
068,,Nationwide Eclipse Ballooning Project,34.06672,-106.90863,Partial,89,Set with Automated AudioMoth Time chime,15:13:25,16:37:21,18:10:13,,,2023.0.0,2023
071,,Nationwide Eclipse Ballooning Project,36.77088,-108.17017,Partial,89,Set manually,15:11:39,16:33:56,18:04:51,,,2023.0.0,2023
073,,Nationwide Eclipse Ballooning Project,33.30367326,-104.7307485,Annular,90,Set with Automated AudioMoth Time chime,15:15:25,16:40:50,18:15:05,,,,2023
078,,ARISA Lab: Randall Davey Audubon,42.614275,-71.91226,Partial,18,Set with Automated AudioMoth Time chime,16:15:31,17:23:57,18:32:16,,,2023.0.0,2023
080,,Nationwide Eclipse Ballooning Project,40.8604028,-115.7422321,Partial,89,Set with Automated AudioMoth Time chime,15:07:13,16:24:35,17:50:04,,,2023.0.0,2023
081,,Nationwide Eclipse Ballooning Project,35.08507135,-106.6224292,Annular,90,Set with Automated AudioMoth Time chime,15:13:13,16:36:56,18:09:25,,,2023.9.0,2023
083,,Nationwide Eclipse Ballooning Project,29.534005,-99.685171,Annular,90,Set with Automated AudioMoth Time chime,15:22:27,16:52:13,18:30:28,,,2023.9.0,2023
087,,Nationwide Eclipse Ballooning Project,38.770203,-111.929433,Partial,89,Set with Automated AudioMoth Time chime,15:09:03,16:28:50,17:57:03,,,2023.0.0,2023
089,,Nationwide Eclipse Ballooning Project,29.454393,-98.561283,Annular,90,Set with Automated AudioMoth Time chime,15:23:40,16:54:04,18:32:45,,,2023.9.0,2023
090,,Nationwide Eclipse Ballooning Project,35.970034,-114.833542,Partial,82,Set with Automated AudioMoth Time chime,15:08:12,16:27:00,17:54:45,,,2023.0.0,2023
092,,Nationwide Eclipse Ballooning Project,42.18691153,-120.3538956,Partial,89,Set with Automated AudioMoth Time chime,15:05:40,16:20:38,17:43:28,,,2023.0.0,2023
096,,Nationwide Eclipse Ballooning Project,38.78051,-112.11194,Partial,89,Set with Automated AudioMoth Time chime,15:08:57,16:28:38,17:56:46,,,2023.0.0,2023
098,,Nationwide Eclipse Ballooning Project,38.76457,-112.10124,Partial,89,Set with Automated AudioMoth Time chime,15:08:58,16:28:39,17:56:48,,,2023.0.0,2023
100,,Nationwide Eclipse Ballooning Project,40.911619,-117.63494,Partial,89,Set with Automated AudioMoth Time chime,15:06:26,16:22:55,17:47:31,,,2023.0.0,2023
102,,Nationwide Eclipse Ballooning Project,33.4189684,-104.5228064,Annular,90,Set manually,15:15:32,16:41:00,18:15:17,,,2023.9.0,2023
110,,Texas Master Naturalist,26.52228,-97.48266,Annular,90,Set with Automated AudioMoth Time chime,15:27:37,16:59:58,18:40:28,,,2023.9.0,2023
111,,Texas Master Naturalist,26.52027,-97.4845,Annular,90,Set with Automated AudioMoth Time chime,15:27:37,16:59:58,18:40:28,,,2023.9.0,2023
112,,Texas Master Naturalist,26.52123,-97.482,Annular,90,Set with Automated AudioMoth Time chime,15:27:37,16:59:58,18:40:28,,,2023.9.0,2023
113,,,29.63505,-98.93757,Annular,90,Set with Automated AudioMoth Time chime,15:23:07,16:53:14,18:31:42,,,2023.9.0,2023
118,,NASA at My Library,34.948779,-81.930733,Partial,6,Set with Automated AudioMoth Time chime,17:05:03,17:53:31,18:40:21,,,,2023
119,,NASA at My Library,41.5302,-57.5446,Partial,6,Set manually,17:05:03,17:53:31,18:40:21,,,2023.0.0,2023
120,,NASA at My Library,31.08154,-97.65587,Partial,87,Set with Automated AudioMoth Time chime,15:23:27,16:53:25,18:31:20,,,2023.0.0,2023
132,,NASA at My Library,38.2457,-104.545,Partial,82,Set manually,15:14:16,16:37:25,18:08:33,,,2023.0.0,2023
133,,NASA at My Library,8.5069,-76.9545,Partial,86,Set with Automated AudioMoth Time chime,16:32:42,18:20:17,20:02:19,,,2023.0.0,2023
136,,NASA at My Library,27.670533,-97.327854,Annular,90,Set with Automated AudioMoth Time chime,15:26:36,16:58:31,18:38:31,,,2023.9.0,2023
137,,NASA at My Library,44.028473,-92.856676,Partial,48,Set manually,15:29:42,16:49:12,18:13:26,,,2023.0.0,2023
138,,NASA at My Library,34.7561,-92.2677,Partial,66,Set with Automated AudioMoth Time chime,15:28:55,16:57:34,18:32:26,,,2023.0.0,2023
139,,NASA at My Library,35.43809,-97.51971,Partial,76,Set with Automated AudioMoth Time chime,15:21:44,16:48:55,18:23:27,,,2023.0.0,2023
141,,NASA at My Library,26.17650887,-98.23064993,Partial,88,Set with Automated AudioMoth Time chime,15:27:14,16:59:15,18:39:36,,,2023.0.0,2023
152,,NASA at My Library,29.9485643,-95.47071,Partial,85,Set with Automated AudioMoth Time chime,15:26:50,16:58:21,18:37:24,,,2023.0.0,2023
153,,NASA at My Library,29.96321,-98.98212,Annular,90,Set with Automated AudioMoth Time chime,15:22:49,16:52:45,18:31:01,,,2023.9.0,2023
156,,NASA at My Library,29.5703658,-98.6427889,Annular,90,Set with Automated AudioMoth Time chime,15:23:29,16:53:47,18:32:22,,,2023.9.0,2023
157,,NASA at My Library,47.5338055,-122.1853343,Partial,80,Set with Automated AudioMoth Time chime,15:07:28,16:20:12,17:39:41,,,2023.0.0,2023
158,,NASA at My Library,26.28386988,-98.16474329,Partial,88,Set with Automated AudioMoth Time chime,15:27:10,16:59:12,18:39:32,,,2023.0.0,2023
161,,NASA at My Library,40.62757591,-96.95340501,Partial,62,Set with Automated AudioMoth Time chime,15:22:34,16:45:39,18:15:01,,,2023.0.0,2023
164,,,33.518365,-111.904735,Partial,80,Set with Automated AudioMoth Time chime,15:10:42,16:31:39,18:01:50,,,2023.0.0,2023
165,,,33.031278,-96.68974,Partial,80,Set with Automated AudioMoth Time chime,15:23:31,16:52:37,18:29:15,,,2023.0.0,2023
166,,,40.57716224,-105.0746614,Partial,77,Set with Automated AudioMoth Time chime,15:14:01,16:35:36,18:04:45,,,2023.0.0,2023
167,,,30.35376402,-93.18368064,Partial,79,Set with Automated AudioMoth Time chime,15:29:33,17:01:34,18:40:27,,,2023.0.0,2023
169,,,30.05884,-99.15383,Annular,90,Set with Automated AudioMoth Time chime,15:22:34,16:52:22,18:30:31,,,2023.9.0,2023
171,,South Llano River State Park,29.8599,-98.4838,Annular,90,Set with Automated AudioMoth Time chime,15:21:37,16:50:54,18:28:37,,,2023.9.0,2023
173,,Enchanted Rock State Natural Area,30.513461,-98.828046,Annular,90,Set with Automated AudioMoth Time chime,15:22:34,16:52:18,18:30:17,,,2023.9.0,2023
175,,Sul Ross State University-Uvalde,29.22199,-99.74003,Annular,90,Set with Automated AudioMoth Time chime,15:22:39,16:52:32,18:30:55,,,2023.9.0,2023
177,,Sul Ross State University-Uvalde,29.210661,-99.778721,Annular,90,Set with Automated AudioMoth Time chime,15:22:38,16:52:29,18:30:52,,,2023.9.0,2023
182,,,30.4475,-99.807778,Annular,90,Set with Automated AudioMoth Time chime,15:21:36,16:50:53,18:28:36,,,2023.9.0,2023
